quarter,price,shares,etf_value,cash,total,quarterly_growth_pct,action,trade_amount,thirty_down_active,thirty_down_triggered,hundred_up_triggered
2023-12-31,25.35,1755.0901846817715,44491.53618168291,12774.180484860899,57265.71666654381,42.33576642335768,30DOWN_IGNORE_SELL_1,0.0,True,True,False
2024-03-31,30.78,1302.0634769856883,40077.51382161949,26718.34254774633,66795.85636936582,21.420118343195263,30DOWN_RESET_REBALANCE,-13944.162062885436,False,False,False
2024-06-30,36.91,1183.5407766341168,43684.490065565245,31093.01541772284,74777.50548328809,19.915529564652356,SELL,-4374.672869976508,False,False,False
2024-09-30,36.245,1313.7286293686336,47616.094171466124,26374.35669536028,73990.4508668264,-1.8016797615822249,BUY,4718.658722362561,False,False,False
2024-12-31,39.565,1311.804439451487,51901.54264689808,26450.487269432182,78352.02991633027,9.159884121947856,SELL,-76.13057407190354,False,False,False
2025-03-31,28.65,1974.6136644020564,56572.68148511891,7461.00297459837,64033.68445971728,-27.58751421711108,BUY,18989.484294833812,False,False,False
2025-06-30,41.5,1485.884887199509,61664.22281877962,27743.247228504086,89407.47004728371,44.85165794066318,SELL,-20282.244253905716,False,False,False
2025-09-30,51.7,1300.0774249994156,67214.00287246979,37349.493024248906,104563.4958967187,24.578313253012055,SELL,-9606.24579574482,False,False,False
2025-12-31,52.72,1389.6673583268605,73263.26313099208,32626.311739226017,105889.5748702181,1.9729206963249437,BUY,4723.181285022889,False,False,False
2026-03-31,56.755,1407.0470762537464,79856.95681278138,31639.92584828561,111496.882661067,7.653641881638854,BUY,986.385890940408,False,False,False
