Date,open,high,low,close
2/11/10,0.2034375,0.2174475,0.2027865,0.216276
2/12/10,0.2103905,0.219036,0.2091665,0.217161
2/16/10,0.2222655,0.2260805,0.218776,0.2255725
2/17/10,0.2285935,0.229453,0.2251485,0.229401
2/18/10,0.2291665,0.23513,0.227786,0.2337495
2/19/10,0.232161,0.2367965,0.2303905,0.2337495
2/22/10,0.23651,0.23651,0.229479,0.232109
2/23/10,0.2308335,0.232083,0.2199735,0.2230465
2/24/10,0.226979,0.2324215,0.225755,0.2297915
2/25/10,0.2224475,0.2312365,0.2179945,0.229661
2/26/10,0.228984,0.2334895,0.2267185,0.232526
3/1/10,0.2354685,0.2434895,0.2354685,0.2425
3/2/10,0.244635,0.2492185,0.243307,0.243958
3/3/10,0.2466925,0.248828,0.2429425,0.2453125
3/4/10,0.2461715,0.248359,0.2423435,0.2480205
3/5/10,0.253307,0.26013,0.251953,0.258984
3/8/10,0.2592185,0.2622395,0.2592185,0.2603645
3/9/10,0.258932,0.269036,0.2587235,0.2649735
3/10/10,0.2653385,0.2730725,0.265156,0.271458
3/11/10,0.2698175,0.2743395,0.2680205,0.273958
3/12/10,0.276979,0.276979,0.271432,0.274583
3/15/10,0.27276,0.274609,0.266927,0.272734
3/16/10,0.2754125,0.2786715,0.272552,0.2778905
3/17/10,0.2786715,0.283776,0.2774995,0.2798175
3/18/10,0.280781,0.2835415,0.278932,0.282656
3/19/10,0.285755,0.285755,0.274687,0.277656
3/22/10,0.274401,0.2884895,0.273359,0.285156
3/23/10,0.287109,0.2917445,0.282656,0.2911195
3/24/10,0.289062,0.289687,0.285156,0.286979
3/25/10,0.293984,0.297057,0.2849475,0.285182
3/26/10,0.2892445,0.292161,0.282161,0.2866665
3/29/10,0.2909895,0.2935675,0.2884635,0.2905985
3/30/10,0.2929945,0.2961715,0.287682,0.2936455
3/31/10,0.2903645,0.2942705,0.287682,0.289687
4/1/10,0.2929165,0.2985155,0.28263,0.2891145
4/5/10,0.2912235,0.2992185,0.289062,0.2974735
4/6/10,0.295208,0.3024475,0.293333,0.2997395
4/7/10,0.2987235,0.301979,0.292838,0.2980465
4/8/10,0.2950255,0.300859,0.2905205,0.2991145
4/9/10,0.300104,0.305234,0.297786,0.304505
4/12/10,0.3055465,0.3080725,0.3035415,0.305729
4/13/10,0.3047395,0.310833,0.3019895,0.310338
4/14/10,0.3147655,0.3215295,0.3141145,0.3212755
4/15/10,0.320937,0.3267705,0.3206505,0.3255725
4/16/10,0.322135,0.325286,0.3079425,0.313984
4/19/10,0.3110415,0.316354,0.302083,0.3134895
4/20/10,0.318359,0.320312,0.3123955,0.318125
4/21/10,0.324583,0.326484,0.317708,0.3237235
4/22/10,0.3142705,0.329609,0.308906,0.3285155
4/23/10,0.328828,0.3338975,0.3249475,0.3328645
4/26/10,0.3330985,0.3355985,0.3287755,0.3303905
4/27/10,0.327187,0.330677,0.3072915,0.3099995
